n_of_individual_projects,motivation_r,relationship_with_others_r,communication_skills_r,task_management_r,salary(thousand kzt),total_rating,promoted
2.0,0.2,0.2,0.2,0.2,100.0,0.8,0.0
3.0,0.5,0.5,0.5,0.5,150.0,0.7,1.0
3.0,0.907390192414598,0.8803827905171746,0.8861719607361256,0.8545825367339439,86.0,0.7171444387524194,0.0
0.0,0.9544377005252247,0.9516360185596627,0.6568760027314655,0.959899814213477,441.0,0.9471621190478802,0.0
1.0,0.6776065871605099,0.9750685071130434,0.5326994057753918,0.45126333366719823,385.0,0.45855771556457325,0.0
5.0,0.9630098212733618,0.9863936273416782,0.9498961125764707,0.9849081657036853,368.0,0.9644584817764615,1.0
0.0,0.7566826973385743,0.6425067286788324,0.9473420484580616,0.6800852025221905,79.0,0.8298492025426101,0.0
4.0,0.9615469521486315,0.9993069322147627,0.9353104719544632,0.9929993203894418,311.0,0.8602218210327399,1.0
3.0,0.6216702846852371,0.39961156565998557,0.7923525057159608,0.7704979345549865,296.0,0.5540513711185951,0.0
0.0,0.9652781257405618,0.8198418822042364,0.6158225815076327,0.6347044769857509,279.0,0.9407036883751647,0.0
5.0,0.855571015171058,0.9799817054355462,0.8636577651901832,0.8045648187348967,423.0,0.8088235125643816,1.0
2.0,0.9877494388100381,0.9342507669060365,0.9137815888302805,0.7532619039597475,124.0,0.6843054668980618,0.0
4.0,0.8299206347799211,0.880395861948676,0.9336473799153028,0.8413947538804701,343.0,0.8710623678394738,0.0
3.0,0.9867494482640999,0.9811755781012681,0.8894635672174405,0.8888721203005432,357.0,0.8951938207042167,1.0
1.0,0.8261360445838711,0.8486254568346525,0.8157086059698416,0.6270611143033556,453.0,0.6288617828410541,0.0
1.0,0.6993537028783189,0.7635091018940248,0.5983809599874577,0.8569025025217085,423.0,0.9492907958041421,0.0
3.0,0.7913022927267346,0.7059607870906608,0.8218650370299543,0.7009416847298563,500.0,0.7306985652859587,1.0
1.0,0.6037718712311068,0.9547543976295902,0.9544220136053557,0.8949250244120732,459.0,0.7964426694855186,0.0
